player_name,position,game_info,stats,salary,fppg,points,game_day,row_number,position_clean,points_numeric
Anthony Tyus III,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,612,RB,0.0
Brady Russell,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,599,RB,0.0
Damien Martinez,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,604,RB,0.0
Robbie Ouzts,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,603,RB,0.0
George Holani,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,601,RB,0.0
Jermar Jefferson,RB,"TEN 12 @ DEN 20, Final",,$10,1.8,0.0,Sunday,648,RB,0.0
Corey KinerQ,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,591,RB,0.0
Jordan JamesO,RB,"SF 17 @ SEA 13, Final",,$10,—,0.0,Sunday,588,RB,0.0
Isaac Guerendo,RB,"SF 17 @ SEA 13, Final",,$16,—,0.0,Sunday,585,RB,0.0
Patrick Taylor Jr.IR,RB,"SF 17 @ SEA 13, Final",,$10,4.0,0.0,Sunday,581,RB,0.0
Shane Watts,RB,"LV 20 @ NE 13, Final",,$10,—,0.0,Sunday,574,RB,0.0
JaMycal Hasty,RB,"LV 20 @ NE 13, Final",,$10,2.2,0.0,Sunday,572,RB,0.0
Terrell Jennings,RB,"LV 20 @ NE 13, Final",,$10,1.7,0.0,Sunday,562,RB,0.0
Chris Collier,RB,"LV 20 @ NE 13, Final",,$10,0.2,0.0,Sunday,549,RB,0.0
Jordan Mims,RB,"TEN 12 @ DEN 20, Final",,$10,2.5,0.0,Sunday,647,RB,0.0
Amar Johnson,RB,"DET 13 @ GB 27, Final",,$10,—,0.0,Sunday,679,RB,0.0
Craig Reynolds,RB,"DET 13 @ GB 27, Final",,$10,—,0.0,Sunday,654,RB,0.0
Jordan Waters,RB,"HOU 9 @ LA 14, Final",,$10,—,0.0,Sunday,714,RB,0.0
Myles Gaskin,RB,"BAL 40 @ BUF 41, Final",,$10,0.4,0.0,Thursday,760,RB,0.0
D'Ernest Johnson,RB,"BAL 40 @ BUF 41, Final",,$10,2.5,0.0,Thursday,758,RB,0.0
Frank Gore Jr.,RB,"BAL 40 @ BUF 41, Final",,$10,—,0.0,Thursday,748,RB,0.0
Reggie Gilliam,RB,"BAL 40 @ BUF 41, Final",,$10,0.1,0.0,Thursday,743,RB,0.0
Darrynton EvansQ,RB,"BAL 40 @ BUF 41, Final",,$10,0.2,0.0,Thursday,742,RB,0.0
Lucas Scott,RB,"BAL 40 @ BUF 41, Final",,$10,—,0.0,Thursday,737,RB,0.0
Keaton Mitchell,RB,"BAL 40 @ BUF 41, Final",,$10,1.3,0.0,Thursday,731,RB,0.0
Patrick RicardO,RB,"BAL 40 @ BUF 41, Final",,$10,2.2,0.0,Thursday,722,RB,0.0
Elijah Young,RB,"BAL 40 @ BUF 41, Final",,$10,—,0.0,Thursday,721,RB,0.0
Jarquez Hunter,RB,"HOU 9 @ LA 14, Final",,$10,—,0.0,Sunday,715,RB,0.0
Cody Schrader,RB,"HOU 9 @ LA 14, Final",,$10,0.7,0.0,Sunday,707,RB,0.0
Sione VakiO,RB,"DET 13 @ GB 27, Final",,$10,0.7,0.0,Sunday,659,RB,0.0
Ronnie Rivers,RB,"HOU 9 @ LA 14, Final",,$10,2.4,0.0,Sunday,704,RB,0.0
British Brooks,RB,"HOU 9 @ LA 14, Final",,$10,0.1,0.0,Sunday,698,RB,0.0
Jawhar Jordan,RB,"HOU 9 @ LA 14, Final",,$10,—,0.0,Sunday,695,RB,0.0
J.J. Taylor,RB,"HOU 9 @ LA 14, Final",,$10,1.8,0.0,Sunday,691,RB,0.0
Jakob Johnson,RB,"HOU 9 @ LA 14, Final",,$10,—,0.0,Sunday,689,RB,0.0
Tyrion Davis-Price,RB,"DET 13 @ GB 27, Final",,$10,0.7,0.0,Sunday,686,RB,0.0
Deon Jackson,RB,"DET 13 @ GB 27, Final",,$10,—,0.0,Sunday,683,RB,0.0
