player_name,position,game_info,stats,salary,fppg,points,game_day,row_number,position_clean,points_numeric
Ben Sinnott,TE,"NYG 6 @ WAS 21, Final",,$10,2.4,0.0,Sunday,448,TE,0.0
Cole Turner,TE,"NYG 6 @ WAS 21, Final",,$10,—,0.0,Sunday,445,TE,0.0
John Bates,TE,"NYG 6 @ WAS 21, Final",,$10,1.1,0.0,Sunday,442,TE,0.0
Jermaine Terry IIQ,TE,"NYG 6 @ WAS 21, Final",,$10,—,0.0,Sunday,436,TE,0.0
Dominique Dafney,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,383,TE,0.0
Thomas Fidone II,TE,"NYG 6 @ WAS 21, Final",,$10,—,0.0,Sunday,430,TE,0.0
Greg Dulcich,TE,"NYG 6 @ WAS 21, Final",,$10,1.3,0.0,Sunday,425,TE,0.0
Chris Manhertz,TE,"NYG 6 @ WAS 21, Final",,$10,1.8,0.0,Sunday,419,TE,0.0
Tyler MabryQ,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,417,TE,0.0
John Copenhaver,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,408,TE,0.0
Patrick Herbert,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,405,TE,0.0
Shawn Bowman,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,404,TE,0.0
Quintin Morris,TE,"CAR 10 @ JAC 26, Final",,$10,1.7,0.0,Sunday,401,TE,0.0
Johnny Mundt,TE,"CAR 10 @ JAC 26, Final",TGT,$10,—,0.0,Sunday,397,TE,0.0
Mitchell Evans,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,391,TE,0.0
James Mitchell,TE,"CAR 10 @ JAC 26, Final",,$10,—,0.0,Sunday,384,TE,0.0
Colby ParkinsonQ,TE,"HOU 9 @ LA 14, Final","2 TGT,2 REC,-6 REC YD,FUM LOST",$10,-1.6,-1.6,Sunday,763,TE,-1.6
