player_name,position,game_info,stats,salary,points
David Njoku,"David Njoku
CIN 17 @ CLE 16, Final
6 TGT,3 REC,37 REC YD","CIN 17 @ CLE 16, Final","6 TGT,3 REC,37 REC YD",$21,5.2
Arizona Cardinals,SACK,"ARI 20 @ NO 13, Final","13 PTS ALLOWED,SACK",$16,5.0
Tim Patrick,"Tim Patrick
CAR 10 @ JAC 26, Final","CAR 10 @ JAC 26, Final",,$10,4.6
Malik Heath,"Malik Heath
DET 13 @ GB 27, Final","DET 13 @ GB 27, Final",,$10,4.5
Kendrick Bourne,"Kendrick Bourne
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$10,4.3
Kyle Juszczyk,"Kyle Juszczyk
SF 17 @ SEA 13, Final
2 TGT,2 REC,32 REC YD","SF 17 @ SEA 13, Final","2 TGT,2 REC,32 REC YD",$10,4.2
Brandin Cooks,"Brandin Cooks
ARI 20 @ NO 13, Final
4 TGT,3 REC,26 REC YD","ARI 20 @ NO 13, Final","4 TGT,3 REC,26 REC YD",$11,4.1
Patrick Taylor Jr.IR,"Patrick Taylor Jr.IR
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$10,4.0
Cleveland Browns,3 SACK,"CIN 17 @ CLE 16, Final","17 PTS ALLOWED,3 SACK",$11,4.0
Dontayvion Wicks,"Dontayvion Wicks
DET 13 @ GB 27, Final
2 TGT,2 REC,30 REC YD","DET 13 @ GB 27, Final","2 TGT,2 REC,30 REC YD",$13,4.0
Kenneth Walker III,"Kenneth Walker III
SF 17 @ SEA 13, Final
10 RUSH ATT,20 RUSH YD,3 TGT,3 REC,4 REC YD","SF 17 @ SEA 13, Final","10 RUSH ATT,20 RUSH YD,3 TGT,3 REC,4 REC YD",$26,3.9
Malik Washington,"Malik Washington
MIA 8 @ IND 33, Final
RUSH ATT,9 RUSH YD,5 TGT,2 REC,20 REC YD","MIA 8 @ IND 33, Final","RUSH ATT,9 RUSH YD,5 TGT,2 REC,20 REC YD",$10,3.9
Skylar ThompsonO,"Skylar ThompsonO
PIT 34 @ NYJ 32, Final","PIT 34 @ NYJ 32, Final",,$20,3.9
Kenneth Gainwell,"Kenneth Gainwell
PIT 34 @ NYJ 32, Final
7 RUSH ATT,19 RUSH YD,4 TGT,3 REC,4 REC YD","PIT 34 @ NYJ 32, Final","7 RUSH ATT,19 RUSH YD,4 TGT,3 REC,4 REC YD",$10,3.8
Kenny Pickett,"Kenny Pickett
LV 20 @ NE 13, Final","LV 20 @ NE 13, Final",,$20,3.6
Jackson Hawes,"Jackson Hawes
BAL 40 @ BUF 41, Final
TGT,REC,29 REC YD","BAL 40 @ BUF 41, Final","TGT,REC,29 REC YD",$10,3.4
Cedrick Wilson Jr.,"Cedrick Wilson Jr.
ARI 20 @ NO 13, Final","ARI 20 @ NO 13, Final",,$10,3.2
Erick All Jr.PUP,"Erick All Jr.PUP
CIN 17 @ CLE 16, Final","CIN 17 @ CLE 16, Final",,$10,3.2
