player_name,position,game_info,stats,salary,fppg,points,row_number,position_clean,points_numeric
Kenny Pickett,QB,"LV 20 @ NE 13, Final",,$20,3.6,0.0,539,QB,0.0
Tyler Huntley,QB,"CIN 17 @ CLE 16, Final",,$20,12.7,0.0,538,QB,0.0
Desmond Ridder,QB,"CIN 17 @ CLE 16, Final",,$20,4.8,0.0,534,QB,0.0
Dillon Gabriel,QB,"CIN 17 @ CLE 16, Final",,$20,—,0.0,532,QB,0.0
Jarrett Stidham,QB,"TEN 12 @ DEN 20, Final",,$20,0.2,0.0,631,QB,0.0
Cooper Rush,QB,"BAL 40 @ BUF 41, Final",,$20,9.7,0.0,723,QB,0.0
Trevor Siemian,QB,"TEN 12 @ DEN 20, Final",,$20,—,0.0,650,QB,0.0
Jimmy Garoppolo,QB,"HOU 9 @ LA 14, Final",,$21,20.9,0.0,702,QB,0.0
Mike White,QB,"BAL 40 @ BUF 41, Final",,$20,1.1,0.0,740,QB,0.0
Mitchell Trubisky,QB,"BAL 40 @ BUF 41, Final",,$20,1.7,0.0,738,QB,0.0
Devin Leary,QB,"BAL 40 @ BUF 41, Final",,$20,—,0.0,733,QB,0.0
Deshaun WatsonPUP,QB,"CIN 17 @ CLE 16, Final",,$20,11.4,0.0,520,QB,0.0
Dresser Winn,QB,"HOU 9 @ LA 14, Final",,$20,—,0.0,716,QB,0.0
Stetson Bennett IV,QB,"HOU 9 @ LA 14, Final",,$20,—,0.0,706,QB,0.0
Graham Mertz,QB,"HOU 9 @ LA 14, Final",,$20,—,0.0,699,QB,0.0
Kyle Allen,QB,"DET 13 @ GB 27, Final",,$20,0.8,0.0,651,QB,0.0
Kedon Slovis,QB,"HOU 9 @ LA 14, Final",,$20,—,0.0,697,QB,0.0
Davis Mills,QB,"HOU 9 @ LA 14, Final",,$20,2.4,0.0,692,QB,0.0
Taylor Elgersma,QB,"DET 13 @ GB 27, Final",,$20,—,0.0,675,QB,0.0
Sean Clifford,QB,"DET 13 @ GB 27, Final",,$20,—,0.0,667,QB,0.0
Malik Willis,QB,"DET 13 @ GB 27, Final",,$20,8.6,0.0,666,QB,0.0
Hendon Hooker,QB,"DET 13 @ GB 27, Final",,$20,0.9,0.0,657,QB,0.0
Shedeur Sanders,QB,"CIN 17 @ CLE 16, Final",,$20,—,0.0,531,QB,0.0
John Wolford,QB,"CAR 10 @ JAC 26, Final",,$20,—,0.0,399,QB,0.0
Payton Thorne,QB,"CIN 17 @ CLE 16, Final",,$20,—,0.0,517,QB,0.0
Skylar ThompsonO,QB,"PIT 34 @ NYJ 32, Final",,$20,3.9,0.0,311,QB,0.0
Quinn Ewers,QB,"MIA 8 @ IND 33, Final",,$20,—,0.0,350,QB,0.0
Logan Woodside,QB,"PIT 34 @ NYJ 32, Final",,$20,—,0.0,342,QB,0.0
Brady Cook,QB,"PIT 34 @ NYJ 32, Final",,$20,—,0.0,337,QB,0.0
Adrian Martinez,QB,"PIT 34 @ NYJ 32, Final",,$20,—,0.0,330,QB,0.0
Tyrod Taylor,QB,"PIT 34 @ NYJ 32, Final",,$20,10.0,0.0,322,QB,0.0
Will HowardIR,QB,"PIT 34 @ NYJ 32, Final",,$20,—,0.0,317,QB,0.0
Mason Rudolph,QB,"PIT 34 @ NYJ 32, Final",,$20,13.1,0.0,307,QB,0.0
Jake Browning,QB,"CIN 17 @ CLE 16, Final",,$20,-0.1,0.0,500,QB,0.0
Teddy Bridgewater,QB,"TB 23 @ ATL 20, Final",,$20,0.1,0.0,303,QB,0.0
Emory JonesIR,QB,"TB 23 @ ATL 20, Final",,$20,—,0.0,293,QB,0.0
Easton Stick,QB,"TB 23 @ ATL 20, Final",,$20,—,0.0,281,QB,0.0
Kirk Cousins,QB,"TB 23 @ ATL 20, Final",,$20,13.7,0.0,278,QB,0.0
