player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day,game_time
KhaDarel HodgeO,WR,"WAS 27 @ ATL 34, Final",,$10,—,0.0,187,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Raheim Sanders,RB,"CLE 10 @ DET 34, Final",,$10,6.3,0.0,171,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
British Brooks,RB,"TEN 0 @ HOU 26, Final",,$10,0.1,0.0,160,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Graham Mertz,QB,"TEN 0 @ HOU 26, Final",,$20,—,0.0,161,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Harrison Bryant,TE,"TEN 0 @ HOU 26, Final",,$10,—,0.0,162,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Brenden Bates,TE,"TEN 0 @ HOU 26, Final",,$10,—,0.0,163,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Jakob JohnsonIR,RB,"TEN 0 @ HOU 26, Final",,$10,—,0.0,164,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
DeAndre CarterO,WR,"CLE 10 @ DET 34, Final",,$10,—,0.0,165,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Deshaun WatsonPUP,QB,"CLE 10 @ DET 34, Final",,$20,11.4,0.0,166,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Blake Whiteheart,TE,"CLE 10 @ DET 34, Final",TGT,$10,—,0.0,167,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Jamari Thrash,WR,"CLE 10 @ DET 34, Final",,$10,1.3,0.0,168,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Dillon Gabriel,QB,"CLE 10 @ DET 34, Final",,$20,2.4,0.0,169,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Shedeur Sanders,QB,"CLE 10 @ DET 34, Final",,$20,—,0.0,170,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Craig Reynolds,RB,"CLE 10 @ DET 34, Final",,$10,0.1,0.0,172,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Jamal Agnew,WR,"WAS 27 @ ATL 34, Final",,$10,—,0.0,186,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Brock Wright,TE,"CLE 10 @ DET 34, Final",,$10,10.3,0.0,173,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Sione VakiO,RB,"CLE 10 @ DET 34, Final",,$10,—,0.0,174,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Isaac TeSlaa,WR,"CLE 10 @ DET 34, Final",,$11,3.7,0.0,175,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Dominic Lovett,WR,"CLE 10 @ DET 34, Final",,$10,—,0.0,176,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Josh Johnson,QB,"WAS 27 @ ATL 34, Final",,$20,0.2,0.0,178,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Noah BrownO,WR,"WAS 27 @ ATL 34, Final",,$10,2.6,0.0,179,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Terry McLaurinO,WR,"WAS 27 @ ATL 34, Final",,$25,6.6,0.0,180,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
John BatesO,TE,"WAS 27 @ ATL 34, Final",,$10,1.1,0.0,181,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Jayden DanielsO,QB,"WAS 27 @ ATL 34, Final",,$39,19.9,0.0,182,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Ben Sinnott,TE,"WAS 27 @ ATL 34, Final",,$10,1.2,0.0,183,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Colson Yankoff,TE,"WAS 27 @ ATL 34, Final",,$10,—,0.0,184,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
Tank DellPUP,WR,"TEN 0 @ HOU 26, Final",,$11,8.2,0.0,159,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Dameon Pierce,RB,"TEN 0 @ HOU 26, Final",,$10,0.5,0.0,158,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Davis Mills,QB,"TEN 0 @ HOU 26, Final",,$20,2.4,0.0,157,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Braxton Berrios,WR,"TEN 0 @ HOU 26, Final",,$10,—,0.0,156,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Taysom HillPUP,TE,"NO 19 @ BUF 31, Final",,$16,11.5,0.0,133,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Foster MoreauPUP,TE,"NO 19 @ BUF 31, Final",,$10,5.5,0.0,134,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Velus Jones Jr.,RB,"NO 19 @ BUF 31, Final",,$10,—,0.0,135,2025-09-29 13:58:34,Week 4,Sunday,9:30 AM (1 NFL Game)
Trey Palmer,WR,"NO 19 @ BUF 31, Final",,$10,1.9,0.0,136,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Devaughn Vele,WR,"NO 19 @ BUF 31, Final",,$10,4.3,0.0,137,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Mason Tipton,WR,"NO 19 @ BUF 31, Final",,$10,1.9,0.0,138,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Tyler Shough,QB,"NO 19 @ BUF 31, Final",,$20,—,0.0,139,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Devin Neal,RB,"NO 19 @ BUF 31, Final",,$10,0.9,0.0,140,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Mitchell Trubisky,QB,"NO 19 @ BUF 31, Final",,$20,1.0,0.0,141,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Dawson Knox,TE,"NO 19 @ BUF 31, Final",TGT,$10,2.0,0.0,142,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Ty Johnson,RB,"NO 19 @ BUF 31, Final",RUSH ATT,$10,1.4,0.0,143,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Reggie Gilliam,RB,"NO 19 @ BUF 31, Final",,$10,—,0.0,144,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Elijah Moore,WR,"NO 19 @ BUF 31, Final",RUSH ATT,$10,4.2,0.0,145,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Tyrell Shavers,WR,"NO 19 @ BUF 31, Final",,$10,1.7,0.0,146,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Kevin Austin Jr.,WR,"NO 19 @ BUF 31, Final",,$10,—,0.0,147,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Treyton Welch,TE,"NO 19 @ BUF 31, Final",,$10,—,0.0,148,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Tyler Lockett,WR,"TEN 0 @ HOU 26, Final",4 TGT,$10,1.9,0.0,149,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Brandon Allen,QB,"TEN 0 @ HOU 26, Final",,$20,2.8,0.0,150,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Julius Chestnut,RB,"TEN 0 @ HOU 26, Final","RUSH ATT,TGT",$10,0.9,0.0,151,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Bryce OliverO,WR,"TEN 0 @ HOU 26, Final",,$10,0.7,0.0,152,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
David Martin-Robinson,TE,"TEN 0 @ HOU 26, Final",,$10,—,0.0,153,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Kalel MullingsIR,RB,"TEN 0 @ HOU 26, Final",,$10,—,0.0,154,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Dare Ogunbowale,RB,"TEN 0 @ HOU 26, Final",,$10,0.5,0.0,155,2025-09-29 13:58:35,Week 4,Sunday,9:30 AM (1 NFL Game)
Kirk Cousins,QB,"WAS 27 @ ATL 34, Final",,$20,1.2,0.0,185,2025-09-29 13:58:36,Week 4,Sunday,9:30 AM (1 NFL Game)
CeeDee LambO,WR,"GB 40 @ DAL 40, Final OT",,$34,10.1,0.0,28,2025-09-29 13:59:38,Week 4,Sunday,8:20 PM (1 NFL Game)
Dalevon Campbell,WR,"CAR 13 @ NE 42, Final",,$10,—,0.0,214,2025-09-29 13:58:37,Week 4,Sunday,9:30 AM (1 NFL Game)
